Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,47uF,
C2,0402,1,10uF,
C4,0402,1,100nF,
EN,TestPoint_Loop_D3.80mm_Drill2.5mm,1,EN,
"GND, PWR_OUT",TestPoint_Loop_D3.80mm_Drill2.5mm,2,gnd,
"GND_OUT, PWR",TestPoint_Loop_D3.80mm_Drill2.5mm,2,pwr,
IC1,TPS630701RNMR,1,TPS630702RNMR,
L1,0603,1,1.5uH,
R1,0402,1,309k,
R2,0402,1,10k,
"R3, R4",0402,2,100k,
R5,0402,1,0,
