Designator,Mid X,Mid Y,Rotation,Layer
C1,166.1642,-73.992,270.0,top
C2,175.433,-73.6705,270.0,top
C3,176.9592,-73.6872,270.0,top
C4,169.4067,-77.7258,180.0,top
EN,161.425,-79.5,0.0,top
GND,161.425,-73.8,180.0,top
GND_OUT,177.15,-79.475,180.0,top
IC1,170.025,-74.313,90.0,top
L1,170.025,-70.2582,0.0,top
PWR,161.425,-67.575,90.0,top
PWR_OUT,177.075,-67.425,0.0,top
R1,174.433,-73.6739,90.0,top
R2,167.739,-78.3354,90.0,top
R3,173.3778,-73.7126,90.0,top
R4,175.075,-76.175,180.0,top
